"char1","char2","loc","ep"
"C3PO","R2D2","ship","IV"
"Leia","R2D2","ship","IV"
"Leia","C3PO","ship","IV"
"R2D2","C3PO","ship","IV"
"C3PO","R2D2","ship","IV"
"C3PO","R2D2","ship","IV"
"Vader","Leia","ship","IV"
"C3PO","R2D2","Tatooine","IV"
"R2D2","C3PO","Tatooine","IV"
"R2D2","C3PO","Tatooine","IV"
"R2D2","Luke","Tatooine","IV"
"R2D2","Beru","Tatooine","IV"
"R2D2","Owen","Tatooine","IV"
"C3PO","Luke","Tatooine","IV"
"C3PO","Beru","Tatooine","IV"
"C3PO","Owen","Tatooine","IV"
"Luke","Beru","Tatooine","IV"
"Luke","Owen","Tatooine","IV"
"Beru","Owen","Tatooine","IV"
"Beru","Luke","Tatooine","IV"
"Beru","C3PO","Tatooine","IV"
"Beru","R2D2","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"Luke","R2D2","Tatooine","IV"
"C3PO","R2D2","Tatooine","IV"
"Beru","Owen","Tatooine","IV"
"Beru","Luke","Tatooine","IV"
"Owen","Luke","Tatooine","IV"
"Owen","Luke","Tatooine","IV"
"Owen","C3PO","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"Owen","Beru","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"Luke","R2D2","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"R2D2","C3PO","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"Obiwan","Luke","Tatooine","IV"
"Obiwan","R2D2","Tatooine","IV"
"Luke","R2D2","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"Luke","Obiwan","Tatooine","IV"
"C3PO","Obiwan","Tatooine","IV"
"C3PO","Luke","Tatooine","IV"
"C3PO","Obiwan","Tatooine","IV"
"C3PO","R2D2","Tatooine","IV"
"Luke","Obiwan","Tatooine","IV"
"Luke","R2D2","Tatooine","IV"
"Obiwan","R2D2","Tatooine","IV"
"Vader","Tarkin","DeathStar","IV"
"Luke","Obiwan","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"Luke","R2D2","Tatooine","IV"
"Obiwan","C3PO","Tatooine","IV"
"Obiwan","R2D2","Tatooine","IV"
"C3PO","R2D2","Tatooine","IV"
"Vader","Leia","DeathStar","IV"
"Luke","Obiwan","Tatooine","IV"
"Luke","R2D2","Tatooine","IV"
"Luke","C3PO","Tatooine","IV"
"Obiwan","R2D2","Tatooine","IV"
"Obiwan","C3PO","Tatooine","IV"
"R2D2","C3PO","Tatooine","IV"
"Obiwan","Luke","Tatooine","IV"
"Obiwan","Luke","MosEisley","IV"
"Obiwan","R2D2","MosEisley","IV"
"Obiwan","C3PO","MosEisley","IV"
"Luke","R2D2","MosEisley","IV"
"Luke","C3PO","MosEisley","IV"
"R2D2","C3PO","MosEisley","IV"
"Luke","Obiwan","MosEisley","IV"
"C3PO","R2D2","MosEisley","IV"
"Obiwan","Chewie","MosEisley","IV"
"Obiwan","Snaggletooth","MosEisley","IV"
"Obiwan","Walrusman","MosEisley","IV"
"Obiwan","Luke","MosEisley","IV"
"Obiwan","C3PO","MosEisley","IV"
"Chewie","Snaggletooth","MosEisley","IV"
"Chewie","Walrusman","MosEisley","IV"
"Chewie","Luke","MosEisley","IV"
"Chewie","C3PO","MosEisley","IV"
"Snaggletooth","Walrusman","MosEisley","IV"
"Snaggletooth","Luke","MosEisley","IV"
"Snaggletooth","C3PO","MosEisley","IV"
"Walrusman","Luke","MosEisley","IV"
"Walrusman","C3PO","MosEisley","IV"
"Luke","C3PO","MosEisley","IV"
"C3PO","R2D2","MosEisley","IV"
"Han","Chewie","MosEisley","IV"
"Han","Obiwan","MosEisley","IV"
"Han","Luke","MosEisley","IV"
"Chewie","Obiwan","MosEisley","IV"
"Chewie","Luke","MosEisley","IV"
"Obiwan","Luke","MosEisley","IV"
"Han","Chewie","MosEisley","IV"
"Obiwan","Luke","MosEisley","IV"
"Greedo","Han","MosEisley","IV"
"Vader","Tarkin","DeathStar","IV"
"R2D2","C3PO","MosEisley","IV"
"Luke","Obiwan","MosEisley","IV"
"Luke","Chewie","MosEisley","IV"
"Luke","Han","MosEisley","IV"
"Luke","C3PO","MosEisley","IV"
"Luke","R2D2","MosEisley","IV"
"Obiwan","Chewie","MosEisley","IV"
"Obiwan","Han","MosEisley","IV"
"Obiwan","C3PO","MosEisley","IV"
"Obiwan","R2D2","MosEisley","IV"
"Chewie","Han","MosEisley","IV"
"Chewie","C3PO","MosEisley","IV"
"Chewie","R2D2","MosEisley","IV"
"Han","C3PO","MosEisley","IV"
"Han","R2D2","MosEisley","IV"
"C3PO","R2D2","MosEisley","IV"
"Chewie","Han","Falcon","IV"
"Chewie","Luke","Falcon","IV"
