"name","Class","Description"
"YLR197W","T","SIK1 involved in pre-rRNA processing"
"YOR039W","T","CKB2 casein kinase II beta' chain"
"YDR473C","T","PRP3 essential splicing factor"
"YOR332W","O","VMA4 H+-ATPase V1 domain 27 KD subunit, vacuolar"
"YER090W","G","TRP2 anthranilate synthase component I"
"YDR394W","F","RPT3 26S proteasome regulatory subunit"
"YER021W","F","RPN3 26S proteasome regulatory subunit"
"YPR029C","O","APL4 AP-1 complex subunit, gamma-adaptin, 94 KD"
"YIL106W","D","MOB1 required for completion of mitosis and maintenance of ploidy"
"YKL166C","C","TPK3 cAMP-dependent protein kinase 3, catalytic chain"
"YGL026C","G","TRP5 tryptophan synthase"
"YOR061W","T","CKA2 casein kinase II alpha' chain"
"YGL115W","B","SNF4 nuclear regulatory protein"
"YGL049C","P","TIF4632 mRNA cap-binding protein (eIF4F), 130K subunit"
"YDL140C","T","RPO21 DNA-directed RNA polymerase II, 215 KD subunit"
"YLR291C","P","GCD7 translation initiation factor eIF2b, 43 kDa subunit"
"YGR158C","T","MTR3 involved in mRNA transport"
"YDR328C","F","SKP1 kinetochore protein complex CBF3, subunit D"
"YOL094C","D","RFC4 DNA replication factor C, 37 kDa subunit"
"YDR460W","T","TFB3 TFIIH subunit (transcription/repair factor)"
"YBR154C","T","RPB5 DNA-directed RNA polymerase I, II, III 25 KD subunit"
"YOR116C","T","RPO31 DNA-directed RNA polymerase III, 160 KD subunit"
"YIL062C","O","ARC15 subunit of the ARP2/3 complex"
"YPR010C","T","RPA135 DNA-directed RNA polymerase I, 135 KD subunit"
"YER027C","M","GAL83 glucose repression protein"
"YPL093W","U","NOG1 similarity to M.jannaschii GTP-binding protein"
"YER006W","O","YER006w similarity to P.polycephalum myosin-related protein mlpA"
"YFR052W","F","RPN12 26S proteasome regulatory subunit"
"YOR261C","F","RPN8 26S proteasome regulatory subunit"
"YHR052W","U","CIC1 adaptor protein specifically linking the 26S proteasome to its substrate, the SCF component CDC4"
"YDR280W","T","RRP45 rRNA processing protein"
"YOR260W","P","GCD1 translation initiation factor eIF2bgamma subunit"
"YMR193W","P","MRPL24 ribosomal protein of the large subunit, mitochondrial"
"YGR162W","P","TIF4631 mRNA cap-binding protein (eIF4F), 150K subunit"
"YPR187W","T","RPO26 DNA-directed RNA polymerase I, II, III 18 KD subunit"
"YDR101C","U","YDR101c weak similarity to proliferation-associated protein"
"YOL041C","U","NOP12 weak similarity to M.sativa NUM1, hnRNP protein from C. tentans and D. melanogaster, murine/bovine poly(A) binding protein II, and NSR1P"
"YHR197W","U","YHR197w weak similarity to PIR:T22172 hypothetical protein F44E5.2 C. elegans"
"YBL045C","E","COR1 ubiquinol--cytochrome-c reductase 44K core protein"
"YOR207C","T","RET1 DNA-directed RNA polymerase III, 130 KD subunit"
"YPL259C","O","APM1 AP-1 complex subunit, mu1 subunit, 54 KD"
"YLL008W","T","DRS1 RNA helicase of the DEAD box family"
"YPL043W","T","NOP4 nucleolar protein"
"YGL220W","U","YGL220w weak similarity to V.alginolyticus bolA protein"
"YOR117W","F","RPT5 26S proteasome regulatory subunit"
"YOR310C","T","NOP58 required for pre-18S rRNA processing"
"YBL046W","U","YBL046w weak similarity to hypothetical protein YOR054c"
"YNL002C","U","RLP7 strong similarity to mammalian ribosomal L7 proteins"
"YBR126C","M","TPS1 alpha,alpha-trehalose-phosphate synthase, 56 KD subunit"
"YKL014C","U","YKL014c similarity to hypothetical protein SPCC14G10.02 S. pombe"
"YCR077C","U","PAT1 topoisomerase II-associated protein"
"YLR208W","O","SEC13 protein transport protein"
"YHR107C","C","CDC12 septin"
"YPL012W","U","RRP12 hypothetical protein"
"YGL237C","B","HAP2 CCAAT-binding factor subunit"
"YOR341W","T","RPA190 DNA-directed RNA polymerase I, 190 KD alpha subunit"
"YPL203W","C","TPK2 cAMP-dependent protein kinase 2, catalytic chain"
"YMR049C","U","ERB1 weak similarity to A.thaliana PRL1 protein"
"YLR409C","U","YLR409c strong similarity to S. pombe beta-transducin"
"YMR146C","P","TIF34 translation initiation factor eIF3, p39 subunit"
"YMR061W","T","RNA14 component of pre-mRNA 3'-end processing factor CF I"
"YIL112W","U","YIL112w similarity to ankyrin and coiled-coil proteins"
"YJL203W","T","PRP21 pre-mRNA splicing factor"
"YLR222C","U","CST29 similarity to DIP2P"
"YBR251W","P","MRPS5 ribosomal protein S5, mitochondrial"
"YDL160C","T","DHH1 putative RNA helicase of the DEAD box family"
"YLR370C","O","ARC18 subunit of the ARP2/3 complex"
"YLL036C","T","PRP19 non-snRNP sliceosome component required for DNA repair"
"YBR135W","D","CKS1 cyclin-dependent kinases regulatory subunit"
"YIL021W","T","RPB3 DNA-directed RNA-polymerase II, 45 kDa"
"YOL149W","T","DCP1 mRNA decapping enzyme"
"YOL077C","U","BRX1 strong similarity to C.elegans K12H4.3 protein"
"YBL056W","U","PTC3 ser/thr protein phosphatase PP2C"
"YKL057C","O","NUP120 nuclear pore protein"
"YGL122C","T","NAB2 nuclear poly(A)-binding protein"
"YDR448W","B","ADA2 general transcriptional adaptor or co-activator"
"YJL124C","T","LSM1 Sm-like (Lsm) protein"
"YKL045W","D","PRI2 DNA-directed DNA polymerase alpha , 58 KD subunit (DNA primase)"
"YJL098W","C","SAP185 SIT4P-associating protein"
"YPL126W","D","NAN1 weak similarity to fruit fly TFIID subunit p85"
"YER112W","T","LSM4 Sm-like (Lsm) protein"
"YDL116W","O","NUP84 nuclear pore protein"
"YDL060W","U","TSR1 similarity to C.elegans hypothetical protein"
"YDR228C","T","PCF11 component of pre-mRNA 3'-end processing factor CF I"
"YDL225W","C","SHS1 septin"
"YFR001W","U","LOC1 weak similarity to rabbit triadin SPP41P"
"YDR127W","G","ARO1 arom pentafunctional enzyme"
"YLR166C","O","SEC10 required for exocytosis"
"YBR125C","U","PTC4 serine/threonine protein phosphatases (PP2Cs)"
"YKR081C","U","YKR081c strong similarity to hypothetical protein S. pombe"
"YGL208W","M","SIP2 dominant suppressor of some ts mutations in RPO21 and PRP4"
"YDR496C","U","PUF6 similarity to hypothetical human and C.elegans proteins"
"YMR205C","E","PFK2 6-phosphofructokinase, beta subunit"
"YDR087C","T","RRP1 involved in processing rRNA precursor species to mature rRNAs"
"YNL147W","T","LSM7 Sm-like (Lsm) protein"
"YGR145W","U","YGR145w similarity to C.elegans hypothetical protein"
"YNL113W","T","RPC19 DNA-directed RNA polymerase I,III 16 KD subunit"
"YFR040W","D","SAP155 SIT4P-associated protein"
"YOR326W","C","MYO2 myosin heavy chain"
"YBR087W","D","RFC5 DNA replication factor C, 40 KD subunit"
"YNL118C","E","DCP2 suppressor protein of a yeast pet mutant"
"YMR309C","P","NIP1 associated with 40s ribosomal subunit"
"YIR001C","T","SGN1 similarity to D.melanogaster RNA binding protein"
"YER081W","G","SER3 3-phosphoglycerate dehydrogenase"
"YER094C","F","PUP3 20S proteasome subunit (beta3)"
"YER099C","M","PRS2 ribose-phosphate pyrophosphokinase"
"YLR423C","F","APG17 protein involved in authophagy"
"YGL123W","P","RPS2 40S small subunit ribosomal protein"
"YNL284C","P","MRPL10 ribosomal protein of the large subunit, mitochondrial"
"YML025C","P","YML6 ribosomal protein, mitochondrial"
"YOL040C","P","RPS15 40S small subunit ribosomal protein"
"YLR015W","U","BRE2 weak similarity to S.pombe hypothetical protein SPBC13G1"
"YGR034W","P","RPL26B 60S large subunit ribosomal protein"
"YHL019C","O","APM2 involved in clathrin-independent transport processes"
"YMR188C","P","YMR188c weak similarity to bacterial ribosomal protein S17"
"YDL191W","P","RPL35A 60S large subunit ribosomal protein"
"YFR030W","G","MET10 sulfite reductase flavin-binding subunit"
"YDL136W","P","RPL35B 60S large subunit ribosomal protein"
"YGR220C","P","MRPL9 ribosomal protein YmL9, mitochondrial"
"YNR037C","P","RSM19 strong similarity to Mycoplasma ribosomal protein S19"
"YNL056W","U","YNL056w similarity to YNL032w and YNL099c"
"YDR388W","C","RVS167 reduced viability upon starvation protein"
"YOL127W","P","RPL25 ribosomal protein L23a.e"
